Accession,earlySecretoryPhase,midSecretoryPhase,lateSecretoryPhase,samples,platform,experimentType,fileFormat,codingNonCoding,naturalStimulated,condition,title,published
GSE103465,0,6,0,6 Samples (Mid-secretory phase),GeneChip® PrimeView™ Human Gene Expression Array (with External spike-in RNAs),Expression profiling by array (mRNA),CEL,coding,Natural cycle,Healthy vs RIF,Characterization of gene expression profile during the implantation phase in IVF cycles in endometrium of women with recurrent implantation failure,"Public on Sep 01, 2018"
GSE26787,0,15,0,15 samples (Mid-secretory phase) ,Affymetrix Human Genome U133 Plus 2.0 Array,Expression profiling by array (mRNA),CEL,coding,Natural cycle,Healthy vs RIF vs Recurrent spontaneous abortion,"Comparison of endometrial expression in patients which underwent previous recurrent abortions, implantation failure after IVF/ICSI compared to control fertile","Public on Jan 22, 2011"
GSE18140,0,8,0,8 samples (Ovulatory Phase)(early-secretory phase),Affymetrix Human Genome U133 Plus 2.0 Array,Expression profiling by array (mRNA),CEL,coding,Natural cycle,pregnant vs non pregnant(RIF),COX-2 network as predictive molecular marker for clinical pregnancy in IVF,
GSE103465,6,6,0,12 samples  (early-secretory and mid-secretory) ,GeneChip® PrimeView™ Human Gene Expression Array (with External spike-in RNAs),"	Expression profiling by array",CEL,coding,Natural cycle,Healthy vs RIF,"	Characterization of gene expression profile during the implantation phase in IVF cycles in endometrium of women with recurrent implantation failure","	Public on Sep 01, 2018"
GSE108966,37,37,0,202 samples (Early secretory and mid-secretory phase),Illumina HiSeq 2500,Non-coding RNA profiling by high throughput sequencing (miRNA),CSV,Non-coding,Natural cycle,Healthy vs RIF VS healthy,A comprehensive two-centre RNA-seq study reveals changes in endometrial and blood miRNome at mid-secretory phase in fertile women and in patients with recurrent implantation failure,"	Public on Jul 18, 2019"
GSE106602,15,55,0,70 samples (Early and mid-secretory phase) (16 healthy mid-secretory),Illumina HiSeq 2500 (Homo sapiens),Expression profiling by high throughput sequencing (mRNA),CSV/TSV,coding,Natural cycle,Healthy vs RIFvs healthy,"	Expression profile of early and mid-secretory human endometrium revealed by RNA-seq: a paired-sample cohort study","Public on Nov 07, 2020"
GSE16532,0,9,0,9 samples (Mid-secretory phase) ,Agilent-014850 Whole Human Genome Microarray 4x44K G4112F,Expression profiling by array (mRNA),GPR,coding,Natural cycle,fertile vs infertile (RIF),Endometrial gene expression analysis at the time of embryo implantation in women with unexplained infertility,"	Public on Oct 17, 2009"
GSE121219,0,18,0,18 samples (Mid-secretory phase),"Exiqon miRCURY LNA microRNA array, 7th generation [miRBase v18, condensed Probe_ID version]",Non-coding RNA profiling by array,GPR,Non-coding,Natural cycle,Healthy vs RIF,"	Differentially expressed miRNA in recurrent implantation failure (RIF)","	Public on Oct 10, 2021"
GSE111974,0,48,0,48 samples (Mid-secretory phase),Agilent-039494 SurePrint G3 Human GE v2 8x60K Microarray 039381,Expression profiling by array (mRNA),TXT,coding,natural cycle,Healthy vs RIF,"	Endometrial Tissue RNA expression in Recurrent Implantation Failure vs. Conrol","	Public on Mar 18, 2018"
GSE58144,0,115,0,115 samples (Mid-secretory phase),A-UMCU-HS44K-2.0,Expression profiling by array (mRNA),TXT,coding,natural cycle,Healthy vs RIF,"	The endometrial gene expression signature of recurrent implantation failure after IVF","	Public on Jun 01, 2015"
