Accession,earlySecretoryPhase,midSecretoryPhase,lateSecretoryPhase,samples,platform,experimentType,fileFormat,codingNonCoding,naturalStimulated,condition,title,published
GSE29981,6,4,0,20 samples (Mid & late proliferative; early & mid-secretory phases),Affymetrix Human Genome U133 Plus 2.0 Array,Expression profiling by array (mRNA),CEL,coding,Natural cycle,healthy in different phases,,
GSE111976,521,558,334,2158 samples (1413  Early and mid-secretory phase and late secretory),Illumina NextSeq 500 (Homo sapiens),Expression profiling by high throughput sequencing (mRNA),CSV,coding,Natural cycle,healthy,,
GSE98386,20,20,0,40 samples (Early and mid-secretory phase) ,Illumina HiSeq 2500 (Homo sapiens),Expression profiling by array (mRNA),CSV/TSV,coding,Natural cycle,healthy,Expression profile of early and mid-secretory healthy human endometrium revealed by RNA-seq,"	Public on Nov 09, 2017"
GSE106602,15,55,0,70 samples (Early and mid-secretory phase) (16 healthy mid-secretory),Illumina HiSeq 2500 (Homo sapiens),Expression profiling by high throughput sequencing (mRNA),CSV/TSV,coding,Natural cycle,Healthy vs RIFvs healthy,"	Expression profile of early and mid-secretory human endometrium revealed by RNA-seq: a paired-sample cohort study","Public on Nov 07, 2020"
GSE126581,166,132,23,"321 samples (PF, EPR, LPR, RR, LR, PS) proliferative (PF), early prereceptive (EPR), late prereceptive (LPR), late receptive (LR), postreceptive (PS), and receptive (RR)",Agilent-016088 custom human microarray,Expression profiling by array,GPR,coding,Natural cycle,healthy,"	Characterizing the Human Menstrual Cycle from a gene co-expression perspective reveals the pregnant endometrium as a global transcriptionally derepressed state","	Public on Sep 15, 2021"
GSE34435,4,3,0,7 samples  (Early and mid-secretory phase) ,Agilent-019118 Human miRNA Microarray 2.0 (iG_Human-miRNA_15k_v2),"	Non-coding RNA profiling by array",GPR,coding,Natural cycle,healthy,"	Epigenetic regulation of receptive human endometrium through microRNAs","Public on Jun 23, 2012"
GSE158958,5,5,0,poliferative and secretory (10 samples),Illumina NextSeq 500,"	Expression profiling by high throughput sequencing",TXT,coding,natural cycle,healthy ,"	Global transcriptomic changes occur in uterine fluid-derived extracellular vesicles (UF-EVs) during the endometrial window for embryo implantation","	Public on Jul 01, 2021"
GSE97929,37,49,0,(Early secretory and mid-secretory phase),Illumina HiSeq 2000,Expression profiling by high throughput sequencing,TXT,coding,natural cycle,healthy,"	Endometrial cell-type specific RNA-seq","	Public on Nov 07, 2017"
GSE146777,3,3,3,24 samples (9 normal control 15 progesterone treated) ,"[Clariom_S_Human] Affymetrix Clariom S Assay, Human (Includes Pico Assay)",Expression profiling by array,CEL,coding,natural cycle,control vs progestron levels healthy vs healthy,"	The impact of progesterone levels and timing of progesterone exposure on human endometrial receptivity","	Public on Mar 12, 2020"
GSE108966,37,37,0,202 samples (Early secretory and mid-secretory phase),Illumina HiSeq 2500,Non-coding RNA profiling by high throughput sequencing (miRNA),CSV,Non-coding,Natural cycle,Healthy vs RIF VS healthy,A comprehensive two-centre RNA-seq study reveals changes in endometrial and blood miRNome at mid-secretory phase in fertile women and in patients with recurrent implantation failure,"	Public on Jul 18, 2019"
GSE109053,6,6,0,(Early secretory and mid-secretory phase),Illumina HiSeq 2500 ,Non-coding RNA profiling by high throughput sequencing,CSV,Non-coding,Natural cycle,healthy,"	MicroRNA markers of human endometrial receptivity","	Public on Mar 01, 2018"
GSE26516,2,2,0,4 samples (Early secretory and mid-secretory phase)(1 and 1 in natural cycle),Illumina Genome Analyzer IIx (Homo sapiens),Non-coding RNA profiling by high throughput sequencing (miRNA),SRA,Non-coding,natural and stimulated cycles,Natural vs stimulated cycle,Genome-wide identification of micro-ribonucleic acids associated with human endometrial receptivity in natural and stimulated cycles by deep sequencing,"Public on Apr 01, 2011"
