Accession,earlySecretoryPhase,midSecretoryPhase,lateSecretoryPhase,samples,platform,experimentType,fileFormat,codingNonCoding,naturalStimulated,condition,title,published
GSE29981,6,4,0,20 samples (Mid & late proliferative; early & mid-secretory phases),Affymetrix Human Genome U133 Plus 2.0 Array,Expression profiling by array (mRNA),CEL,coding,Natural cycle,healthy in different phases,,
GSE126581,166,132,23,"321 samples (PF, EPR, LPR, RR, LR, PS) proliferative (PF), early prereceptive (EPR), late prereceptive (LPR), late receptive (LR), postreceptive (PS), and receptive (RR)",Agilent-016088 custom human microarray,Expression profiling by array,GPR,coding,Natural cycle,healthy,"	Characterizing the Human Menstrual Cycle from a gene co-expression perspective reveals the pregnant endometrium as a global transcriptionally derepressed state","	Public on Sep 15, 2021"
GSE86491,0,20,0,40 samples (Proliferative and secretory phases),Illumina HiSeq 2500 (Homo sapiens),Expression profiling by high throughput sequencing/ Non-coding RNA profiling by high throughput sequencing (mRNA/small RNA),TXT (count files),non-coding,Natural cycle,healthy (mRNA vs small RNA),Comprehensive RNA sequencing of healthy human endometrium at two time points of the menstrual cycle,"Public on Dec 01, 2016"
GSE167325,0,4,0,8 samples (Proliferative and mid-secretory phases),Illumina HiSeq 2500 (Homo sapiens),"Non-coding RNA profiling by high throughput sequencing (lncRNA, miRNA and mRNA)",TXT,Non-coding,natural cycle,proliferative vs mid-secretory phase (healthy),Transcriptomic analysis and competing endogenous RNA network in the human endometrium between proliferative and mid-secretory phases,"	Public on Feb 24, 2021"
GSE158958,5,5,0,proliferative and secretory (10 samples),Illumina NextSeq 500,"	Expression profiling by high throughput sequencing",TXT,coding,natural cycle,healthy ,"	Global transcriptomic changes occur in uterine fluid-derived extracellular vesicles (UF-EVs) during the endometrial window for embryo implantation","	Public on Jul 01, 2021"
E-MEXP-3111,0,4,0,"12 samples (4 secretory, 4 proliferative and 4 embryo)",A-AFFY-44 - Affymetrix GeneChip Human Genome U133 Plus 2.0 [HG-U133_Plus_2],Expression profiling by array,TXT,coding,natural cycle,healthy,,
E-MTAB-9260,4,0,0,8 samples (4 eary secretory and 4 proliferative phase),RNA-seq of coding RNA from single cells,"	Expression profiling by high throughput sequencing",,coding,natural cycle,healthy,,
GSE132711 ,0,10,0,20(proliferative phase),Illumina HiSeq 2000,Expression profiling by high throughput sequencing,TXT,coding,natural,proliferative vs mid-secretory phase (healthy),Endometrial transcriptome and PGR cistrome in cycling fertile women [RNA-seq],"Public on Nov 27, 2019"
GSE132713,0,3,0,7(proliferative phase/Pooled input),Illumina HiSeq 2000,enome binding/occupancy profiling by high throughput sequencing,TAR,coding,natural,proliferative vs mid-secretory phase (healthy),Endometrial transcriptome and PGR cistrome in cycling fertile women [ChIP-seq],"Public on Nov 27, 2019"
GSE119209,0,5,0,proliferative and mid-secretory (11 samples),Illumina HiSeq 2500 ,"	Expression profiling by high throughput sequencing",TXT,coding,natural cycle,healthy (only mid-secretory phase),Determination of the Forkhead box A2 (FOXA2) Cistrome in the Human Endometrium,"	Public on Aug 30, 2018"
